[2026-01-14 15:06:06] [INFO    ] discord.client: logging in using static token
[2026-01-14 15:06:06] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2026-01-14 15:06:06] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2026-01-14 15:06:06] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1457842481436557574', 'username': 'Sfingi', 'avatar': 'e7abb6400572a3bf72a78bd28e3f4c0f', 'discriminator': '4868', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'bd7d6861857948c03cb017dc377e3ec0', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2026-01-14 15:06:06] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2026-01-14 15:06:06] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2026-01-14 15:06:06] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1457842481436557574', 'name': 'Sfingi', 'icon': 'e7abb6400572a3bf72a78bd28e3f4c0f', 'description': "yo what's up bro its me sfingi the cat yes im real haha ", 'type': None, 'bot': {'id': '1457842481436557574', 'username': 'Sfingi', 'avatar': 'e7abb6400572a3bf72a78bd28e3f4c0f', 'discriminator': '4868', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': 'bd7d6861857948c03cb017dc377e3ec0', 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '7db08e2ad1a39668deca63ce71f9ecbc39df46fa88ad446e8e01b6598467bdff', 'flags': 565248, 'tags': ['meow', 'cat', 'donut'], 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '315914437133598721', 'username': 'jason_ng01', 'avatar': '0917ee1c430f10cb6aceda19f8269c18', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': None, 'accent_color': 15527148, 'global_name': 'jason', 'avatar_decoration_data': {'asset': 'a_14a0f06f28d6de3dfd63d463223d814f', 'sku_id': '1440174638930853955', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#ececec', 'clan': {'identity_guild_id': '1210305827148144701', 'identity_enabled': True, 'tag': 'KGB', 'badge': 'e49cbe2d3c213af9f285d99ecdbb56cf'}, 'primary_guild': {'identity_guild_id': '1210305827148144701', 'identity_enabled': True, 'tag': 'KGB', 'badge': 'e49cbe2d3c213af9f285d99ecdbb56cf'}}, 'approximate_guild_count': 1, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 230, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'bot_approximate_guild_count': 1, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2026-01-14 15:06:07] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2026-01-14 15:06:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-d-2927",{"micros":0.0}]']}}
[2026-01-14 15:06:07] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2026-01-14 15:06:07] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
